,artistas,cancion_id,emocion,imagen,preview_url,titulo
26,['Crowded House'],1fiDe8sb2DMEU4JGPOIEB1,Exaltado,https://i.scdn.co/image/a70e05a5ade602be13597768a9275421f098a4f2,https://p.scdn.co/mp3-preview/640151c24fff97adaaf7b6ebfeb7ce4adaab3262?cid=8ef0ee1341c140f2bfebf028664b280d,Don't Dream It's Over
27,['Twin Peaks'],0LaSBuqRj2nhvOej7QgbEN,Sereno,https://i.scdn.co/image/2785a8b804661cb5bb24e0267fc379d1866fde18,https://p.scdn.co/mp3-preview/1dbb4757d66000278c6f286a530a8abb162f06fa?cid=8ef0ee1341c140f2bfebf028664b280d,Wanted You
28,['Arctic Monkeys'],7f9I5WdyXm5q1XqnSYgQZb,Activo,https://i.scdn.co/image/637c657bc3053d9f5fecad1c9ae68e20d8ab2eb6,https://p.scdn.co/mp3-preview/ba5e747243f864e7569f8ea5b1295b69f6d310d6?cid=8ef0ee1341c140f2bfebf028664b280d,Brianstorm
29,['Vetusta Morla'],6r6RKNFH4Z6qwE5wcR0ThO,Exaltado,https://i.scdn.co/image/690474807a62b465012c150ca7c4fe4996513b40,https://p.scdn.co/mp3-preview/98dbf8d5891cab7ad8c9377d896dc86ad7fcfdef?cid=8ef0ee1341c140f2bfebf028664b280d,Deséame Suerte
30,['Roy Woods'],5l5wRXA7asTNjh3V0oNGPs,Relajado,https://i.scdn.co/image/41a6419b4f10104f09aad20816beb9b111268db8,https://p.scdn.co/mp3-preview/4ff28dd5a0f12a13db241ab5c4cefaf49ddb4cb7?cid=8ef0ee1341c140f2bfebf028664b280d,Little Bit of Lovin
31,"['Compass: Mexican Institute Of Sound + Toy Selectah', 'Toy Selectah', 'Chedda', 'Angela Hunte']",7ggYNFQKHHvnXHhD7g6NQk,Excitado,https://i.scdn.co/image/a99db55301babb1f39f3756547aae025e3180681,https://p.scdn.co/mp3-preview/4779ba80b0792e924b04e77540aa09edf799ae18?cid=8ef0ee1341c140f2bfebf028664b280d,I'm A Soldier (feat. Angela Hunte & Chedda)
32,['Bejo'],1R3e4NXbgiaYuBLTV1tzEG,Relajado,https://i.scdn.co/image/0048c5d575608218c3682896b29ee2e11b960766,https://p.scdn.co/mp3-preview/b17942dccd43948db44c3051a0df0083f0c1621c?cid=8ef0ee1341c140f2bfebf028664b280d,Pasión de Pardelas
33,['Coldplay'],75JFxkI2RXiU7L9VXzMkle,Relajado,https://i.scdn.co/image/70d8660d8b802835a280ce75799d30db262f7094,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=8ef0ee1341c140f2bfebf028664b280d,The Scientist
34,['The Cure'],5ft1GmMZA4uNX7afvQfDLn,Exaltado,https://i.scdn.co/image/d7ca381137b4e65bc1d01d520450b2bdbf1daeea,https://p.scdn.co/mp3-preview/f32e0561f184a3682df4e4786d0347645cc062bf?cid=8ef0ee1341c140f2bfebf028664b280d,Just Like Heaven
35,['Nirvana'],26D1PRJjD9Jj1JGRk88KVc,Exaltado,https://i.scdn.co/image/f0cbc3143045cd22504824c2e99fb37b88951c10,https://p.scdn.co/mp3-preview/8f1e0a6a3374555bf048e3b0d8d599531be63035?cid=8ef0ee1341c140f2bfebf028664b280d,Lithium
36,['Two Door Cinema Club'],215Z4s5KDIi4BjRlJotgi7,Calmado,https://i.scdn.co/image/24cf34dfddb088b5d24193e6b36b82a3f209953e,https://p.scdn.co/mp3-preview/2b8dba4ddb74c9feff56fb355ab0b27bd5a94a7e?cid=8ef0ee1341c140f2bfebf028664b280d,Are We Ready? (Wreck)
37,['White Reaper'],0tJ5q534s7wrKyTMhee0jX,Exaltado,https://i.scdn.co/image/1222da63c76d084a042df74e6790d498f92e88f8,https://p.scdn.co/mp3-preview/6a471fc3977e12a9f40020a17cf391d61209ff3b?cid=8ef0ee1341c140f2bfebf028664b280d,Pills
38,"['Hailee Steinfeld', 'BloodPop®']",0m6TrXRLlNFLkOGiW38kDf,Exaltado,https://i.scdn.co/image/435984b16d04f75e2b363ff040d93325ca6968fa,https://p.scdn.co/mp3-preview/79be20613e600ad9b369e87a9357682bcaf9073f?cid=8ef0ee1341c140f2bfebf028664b280d,Capital Letters
39,"['Nacho Vegas', 'J (Los Planetas)']",2V03KjDiF9Uf2cpVnpVttR,Aburrido,https://i.scdn.co/image/1ecb795145c8410adb20b784e1d92edf2410a3eb,https://p.scdn.co/mp3-preview/16506c6199b9c776f2e525f150a2b20627d54518?cid=8ef0ee1341c140f2bfebf028664b280d,Noches Árticas
40,"['J Balvin', 'Jeon', 'Anitta']",6MNGxu8MprKGkchUchkJsy,Activo,https://i.scdn.co/image/088894376cd2361d7f02a0cfa1c914985964af90,https://p.scdn.co/mp3-preview/106df4f9607d2be57bcd50e667b754fae5a10d2d?cid=8ef0ee1341c140f2bfebf028664b280d,Machika
41,['Aerosmith'],0c1gHntWjKD7QShC8s99sq,Exaltado,https://i.scdn.co/image/99921237897d2b0385fdddec81479a6d0ac1315c,https://p.scdn.co/mp3-preview/487d4a9ae6d16bf4e4faf5ef43a2df2a54a4d27f?cid=8ef0ee1341c140f2bfebf028664b280d,"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon"""
42,['The Strokes'],4fPBB44eDH71YohayI4eKV,Exaltado,https://i.scdn.co/image/df1e7c0a414f1dc9fcf388af89edf748cf27cebe,https://p.scdn.co/mp3-preview/2b2787123a986fa006b2cbf3d449615cf06c2919?cid=8ef0ee1341c140f2bfebf028664b280d,You Only Live Once
43,"['Romeo Santos', 'Daddy Yankee', 'Nicky Jam']",0ERbK7qVqveCaBWIiYCrl3,Exaltado,https://i.scdn.co/image/d642faa098f49008625d6128806b341c9706a585,https://p.scdn.co/mp3-preview/8f3dcd705d2222be98a0a5a7abb9a36e4b9886e2?cid=8ef0ee1341c140f2bfebf028664b280d,Bella y Sensual
44,['Pavement'],3D73mQDtye5odGJcBV4DS6,Exaltado,https://i.scdn.co/image/38190ed6b0a7194423963c07cbeaf3c92a409143,https://p.scdn.co/mp3-preview/7f40f5bc308de0c67ab1fc504f327b5fec9e7365?cid=8ef0ee1341c140f2bfebf028664b280d,Cut Your Hair
45,['Elida Almeida'],4E6wI4yOhWveCbYqJLXQ4N,Relajado,https://i.scdn.co/image/1b6314beed81d5a748d729d7ad73441010bf4908,https://p.scdn.co/mp3-preview/b4aedc5d9d6dda703a0124c685d4371d1ca3d102?cid=8ef0ee1341c140f2bfebf028664b280d,Bersu d'Oru
46,"['Coldplay', 'Rihanna']",4HXOBjwv2RnLpGG4xWOO6N,Exaltado,https://i.scdn.co/image/e7a649b3890dc849e0f1597d6d12b4342e03ce5f,https://p.scdn.co/mp3-preview/1c9c585de24ee7948526813caefc054499180980?cid=8ef0ee1341c140f2bfebf028664b280d,Princess of China
47,['The Killers'],3twNvmDtFQtAd5gMKedhLD,Excitado,https://i.scdn.co/image/ac68a9e4a867ec3ce8249cd90a2d7c73755fb487,https://p.scdn.co/mp3-preview/34470fdacaec1a5e9265d3d7c00c84804a9b564a?cid=8ef0ee1341c140f2bfebf028664b280d,Somebody Told Me
48,['Oasis'],2cFXybEXggFTpPeIzWWHpk,Calmado,https://i.scdn.co/image/0f3d59aef7581cbfcf03983c480558eee7daeaf5,https://p.scdn.co/mp3-preview/ca6db9dd5857d92bf0be1625f96b0635c17095f8?cid=8ef0ee1341c140f2bfebf028664b280d,Slide Away - Remastered
49,['Oasis'],6FBpIPlWYCQyXiJsmIDTOV,Exaltado,https://i.scdn.co/image/6aa32e708bb0c0619dbb1a45756c2cade01a39b5,https://p.scdn.co/mp3-preview/f8672e79068938d5610e7b105b0ac5b617659660?cid=8ef0ee1341c140f2bfebf028664b280d,Some Might Say
50,['Lori Meyers'],0IVCc0VlNsNbHN2oJXPTf0,Alegre,https://i.scdn.co/image/4f448f48e20560eb3782b5e17bcbaef0f68485bd,https://p.scdn.co/mp3-preview/655bd9029bc657df19b6a1844468ccc1585e51ee?cid=8ef0ee1341c140f2bfebf028664b280d,Emborracharme
51,['Ozuna'],1m69ELEgE6k5ZWsap40ozt,Exaltado,https://i.scdn.co/image/be41af2ac36aeb3f8019d06971e486a932159726,https://p.scdn.co/mp3-preview/1126493551b3be5dcc9b51ca949442eea4662518?cid=8ef0ee1341c140f2bfebf028664b280d,Se Preparó
52,['Babyshambles'],5T9ir6tlqhhbKVzIC0ssbs,Exaltado,https://i.scdn.co/image/0e28f831042842e0929d461e299d9bbd1ed0bebb,https://p.scdn.co/mp3-preview/df8d57a2ad4d435151b08367e2859237d96d8a22?cid=8ef0ee1341c140f2bfebf028664b280d,Delivery
53,['Foals'],4i3txPQIUV4eC9g9FBpi9I,Sereno,https://i.scdn.co/image/dc408ac737b8c632d213050e06658fb878aab7e8,https://p.scdn.co/mp3-preview/75d32af506df2354251f80726ab3e0656fa8e8f7?cid=8ef0ee1341c140f2bfebf028664b280d,Spanish Sahara
54,"['Rudimental', 'Jess Glynne', 'Macklemore', 'Dan Caplen']",5CLGzJsGqhCEECcpnFQA8x,Exaltado,https://i.scdn.co/image/807829b25332e965cccb4a84c8404ce35740896d,https://p.scdn.co/mp3-preview/57f9b45cd318070b04945fc6c8a7e50eaa7f8971?cid=8ef0ee1341c140f2bfebf028664b280d,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)"
55,"['CAZZETTE', 'The High']",6zWpqo98M9Ai6TK3qmm55o,Relajado,https://i.scdn.co/image/9f3b5fde2699df52f96f0e0d89961ef8d47ce21b,https://p.scdn.co/mp3-preview/6f0964c00cc600ffdd5afb2e73eba66f11afd416?cid=8ef0ee1341c140f2bfebf028664b280d,Sleepless - Radio Edit
56,['Edward Sharpe & The Magnetic Zeros'],10ViidwjGLCfVtGPfdcszR,Sereno,https://i.scdn.co/image/3d43d577376344793fccfa5fb5984146d686200c,https://p.scdn.co/mp3-preview/0bdd56b4a2324cb54ad72543bd78534c2b51b822?cid=8ef0ee1341c140f2bfebf028664b280d,Home
57,"['DELLAFUENTE', 'C. Tangana']",3Q6zROQvMXRtR9NYfDpNWL,Deprimido,https://i.scdn.co/image/61ca4a4df6903d2d3e800ca62a0b597b71441a9b,https://p.scdn.co/mp3-preview/feffffc56fac2cc0e8bb2f62d94e27e78f19059d?cid=8ef0ee1341c140f2bfebf028664b280d,Guerrera
58,['Dua Lipa'],4P76CEIXrrWT2cgS1YrTMr,Excitado,https://i.scdn.co/image/80ed68cfbca71e8026e89e8cb603e2a0c9ffa554,https://p.scdn.co/mp3-preview/0425f3174435ec2c2c7bc87bca6861b38c74fc72?cid=8ef0ee1341c140f2bfebf028664b280d,Genesis
59,['Alpine'],7r3xzpB7GN6oCns1kvpnqs,Excitado,https://i.scdn.co/image/bf27eb772433f06b3e019e799b93b9d852c30287,https://p.scdn.co/mp3-preview/451001879d7a9f000654c7476ebb08f1bdc10c07?cid=8ef0ee1341c140f2bfebf028664b280d,Gasoline
60,['Journey'],4bHsxqR3GMrXTxEPLuK5ue,Alegre,https://i.scdn.co/image/e2a58fee0ad63c26da54788d02ca116795393824,https://p.scdn.co/mp3-preview/21b9abd3cd2eea634e17a917196fdd5ba2e82670?cid=8ef0ee1341c140f2bfebf028664b280d,Don't Stop Believin'
61,['The Weeknd'],6RsWqX8zABZLhZydXxEFOm,Relajado,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,https://p.scdn.co/mp3-preview/bcf7760f45c81ec90b1fe7ebf9bc3809cc459b17?cid=8ef0ee1341c140f2bfebf028664b280d,Can't Feel My Face
62,['Miss Caffeina'],0q26YkYooQjbNyNXzGcHGP,Exaltado,https://i.scdn.co/image/dc7eebc30780eb777408fb25326f4f53e83c0ef9,https://p.scdn.co/mp3-preview/72daf8d8a0eec3757455c43496dda3347765abe0?cid=8ef0ee1341c140f2bfebf028664b280d,Mira cómo vuelo
63,"['Clean Bandit', 'Julia Michaels']",2xmrfQpmS2iJExTlklLoAL,Aburrido,https://i.scdn.co/image/92d5b2f53a387aae003e1b4b505b73035205bc13,https://p.scdn.co/mp3-preview/eb8bc30e42a61bda7052025bfc4f62f0a3fdcd89?cid=8ef0ee1341c140f2bfebf028664b280d,I Miss You (feat. Julia Michaels)
64,['Bazzi'],6tHWl8ows5JOZq9Yfaqn3M,Sereno,https://i.scdn.co/image/6bd1fbc1bba92a98b7a84d98379f06828ec07aae,https://p.scdn.co/mp3-preview/8293dcef3f7625ddfe418e4f620fb6e770dd3911?cid=8ef0ee1341c140f2bfebf028664b280d,Mine
65,['Arctic Monkeys'],086myS9r57YsLbJpU0TgK9,Exaltado,https://i.scdn.co/image/f513ae2d610d9255913795d4bc28ca33c827b232,https://p.scdn.co/mp3-preview/ac66e2c979d55dea341bfdd15e88783ece8a378d?cid=8ef0ee1341c140f2bfebf028664b280d,Why'd You Only Call Me When You're High?
66,['Deepside Deejays'],6bM8LZVXDO7UPwdktDHDwR,Excitado,https://i.scdn.co/image/c1778d342f3eac254e63fb0851f502759dc3aedd,https://p.scdn.co/mp3-preview/e0fef63d0bf485c539d0835e9eab0d395db205ba?cid=8ef0ee1341c140f2bfebf028664b280d,Never Be Alone - Radio Edit
67,['Crystal Fighters'],1PHKYn3cci7newB5lJhtYK,Exaltado,https://i.scdn.co/image/f7c9fec8427d3e537f77bb6f08cddd37989ff4f6,https://p.scdn.co/mp3-preview/fc0f3a2d948b8aa4437a0dab74ac067204402f1a?cid=8ef0ee1341c140f2bfebf028664b280d,Love Alight
68,['Coldplay'],6HwPEeSVENUIxHtS0Omp1O,Aburrido,https://i.scdn.co/image/137af97fb53cafdb739158955020c1e8ff58f427,https://p.scdn.co/mp3-preview/0b52f57189a7bb1229df5d092289c5a3a0811a06?cid=8ef0ee1341c140f2bfebf028664b280d,Everglow
69,['Slowdive'],2W70vgf87uyNB2XRpRDEES,Relajado,https://i.scdn.co/image/1019310af501f8e996e11a271b466e6d19053185,https://p.scdn.co/mp3-preview/ec5799365731f158230d30b94bdedb48ab4dc440?cid=8ef0ee1341c140f2bfebf028664b280d,Alison
70,['Georgina'],4nBspeju6UNehC3tlri7uS,Aburrido,https://i.scdn.co/image/11c906bb2445070c37a79f36429acf5dba8231a2,https://p.scdn.co/mp3-preview/22fddbade5e06746974543bc72941d0cdb5aee45?cid=8ef0ee1341c140f2bfebf028664b280d,Menamore
71,['La Raíz'],4by34YzNiEFRESAnBXo7x4,Excitado,https://i.scdn.co/image/1690a7eb8b8b9228f305779765f229ab8e8cc773,https://p.scdn.co/mp3-preview/ab2068127b113cdb7875ce3c33b76eb4654f20fc?cid=8ef0ee1341c140f2bfebf028664b280d,Rueda la Corona
72,['Ismael Serrano'],2gRRfkfmizNEkhuEPhW4ud,Calmado,https://i.scdn.co/image/c37c33328fc49f259b5b62963f1ec9721338b604,https://p.scdn.co/mp3-preview/58dc7b4f49d6819d6010d9af8e672ea4e9598668?cid=8ef0ee1341c140f2bfebf028664b280d,Papá Cuéntame Otra Vez
73,"['2Pac', 'Talent']",3Wyc7M8twhxeyaC51BcQYb,Activo,https://i.scdn.co/image/3f66e9948e95546e0b192e577c4e47e8abcae3a8,https://p.scdn.co/mp3-preview/e886dbee80468bd245585a5a62269a671d1d2fcc?cid=8ef0ee1341c140f2bfebf028664b280d,Changes
74,['Two Door Cinema Club'],4jJEQg6mr3fQsUCYTwhBEZ,Calmado,https://i.scdn.co/image/60df4fd91eb04d6378867158d780a5f2a46b71e6,https://p.scdn.co/mp3-preview/e2705594d48dd0ea6c4764171e4c82c243d4406e?cid=8ef0ee1341c140f2bfebf028664b280d,Sun
75,['El Mato A Un Policia Motorizado'],7zbQdmuomGEcE0iG2HaYWZ,Aburrido,https://i.scdn.co/image/1d5c925addb88b98c4f9ea0c038f2ce94ea4283a,https://p.scdn.co/mp3-preview/caecc5c203361792337e94947530679a0f390ec0?cid=8ef0ee1341c140f2bfebf028664b280d,Mas o Menos Bien
76,"['Funambulista', 'Leire Martinez']",4LpPWShyGgvVoTxMRGFjxv,Exaltado,https://i.scdn.co/image/750a04810860e933e1fbb4dea4529236a2bd266f,https://p.scdn.co/mp3-preview/6a77b9a0d1a65fcfadcbf27493954d33d8f74211?cid=8ef0ee1341c140f2bfebf028664b280d,Volver a Empezar
77,['Bob Dylan'],6HSXNV0b4M4cLJ7ljgVVeh,Aburrido,https://i.scdn.co/image/e10a7d0572569ee5ec9159ed03c79a8b61b308ec,https://p.scdn.co/mp3-preview/5d590e2139ce4eb119238968a8b398e8510a6251?cid=8ef0ee1341c140f2bfebf028664b280d,Knockin' On Heaven's Door - Remastered
78,['Wolfine'],4R55IUi2x7S5ek2SpebOiE,Relajado,https://i.scdn.co/image/a3dde97cd07f9945517353ee4a9f46e480b11c35,,Bella
79,['Slowdive'],6oeABvJGU7Oztzd3CiSv0l,Exaltado,https://i.scdn.co/image/f329421be006952c25a84336a98ed788504da789,https://p.scdn.co/mp3-preview/ce1dea6a5b20956bf00471ccdef25afcdeb0f323?cid=8ef0ee1341c140f2bfebf028664b280d,Star Roving
80,['Víctor Manuelle'],236qXqcmitHCZ3SHoGZN8g,Excitado,https://i.scdn.co/image/9e780cedf7b9d0e386881bd17ffb3d8621b75514,https://p.scdn.co/mp3-preview/cd3bce1e4afb86c049e3ab5ace198f79c09a3e23?cid=8ef0ee1341c140f2bfebf028664b280d,He Tratado
81,['Kiko Veneno'],72Fm5e7KPBEQwCeIcSU33g,Triste,https://i.scdn.co/image/e7fdc50fab0401e247f4e233b73436cb882f962a,https://p.scdn.co/mp3-preview/e208e50cdadd78a0c6a2f5b08ca0de209b816806?cid=8ef0ee1341c140f2bfebf028664b280d,Joselito
82,['Imagine Dragons'],6Aiu4fCAEzvXpjmy1HsJxM,Calmado,https://i.scdn.co/image/e6f9725edf5e720fc69699d1541c890341fe3add,https://p.scdn.co/mp3-preview/6da08134a0e3f2abed7210fe60445e77834dd192?cid=8ef0ee1341c140f2bfebf028664b280d,Smoke And Mirrors
83,['Coldplay'],5ZV67iTfNpW3ueMCELLiSX,Exaltado,https://i.scdn.co/image/718a8effab3796b582100e3ff21ca78d52bd6a52,https://p.scdn.co/mp3-preview/003c50e0be486d42d4b8a57129de709c268444ea?cid=8ef0ee1341c140f2bfebf028664b280d,Viva La Vida - Live
84,['Franz Ferdinand'],5sCjd47MEpd7vkvhYukANl,Excitado,https://i.scdn.co/image/df713a297ee7ca3516e6ddffc776361abafc9167,https://p.scdn.co/mp3-preview/976b661c45526785e9fb1c3b2907f0e1cf1ebb5a?cid=8ef0ee1341c140f2bfebf028664b280d,Ulysses
85,['Portugal. The Man'],4WMuY659P2MKnoW40oGXe8,Exaltado,https://i.scdn.co/image/74c4fb7a0df3116e0b6ae63740f0314478dac094,https://p.scdn.co/mp3-preview/1bef5ae1d8d735dd4caf6d00c272ab1f80d2e85d?cid=8ef0ee1341c140f2bfebf028664b280d,Purple Yellow Red and Blue
86,['Imagine Dragons'],26gceVsA1ybT8qsX3aYLEn,Exaltado,https://i.scdn.co/image/d437791a5159ac23270b8850c307c7da98e246cb,https://p.scdn.co/mp3-preview/2405e798a6fa2474ff1eec539ad07589a35561a3?cid=8ef0ee1341c140f2bfebf028664b280d,Thunder
